ID subject;vignette;Verständnisfrage;Frage 1;Nachfrage 1;Nachfrage 2;Nachfrage 3;Nachfrage 4;Bemerkung;Emotion;Reduction;Modifikator;Negation;Kodierer;Problem
3240;7;Geburtstag;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
3240;8;Hose offen;-;;;;;;99;99;;;BS;3.0
3240;9;Igel;sauer;;;;;;sauer;sauer;;;E.T.;
3240;10;Legoauto;sauer;;;;;;sauer;sauer;;;E.T.;
984;1;Gruselfilm;Angst;;;;;Kind unmotiviert;Angst;ängstlich;;;E.T.;
984;2;kaputtgegangen;traurig;;;;;;traurig;traurig;;;E.T.;
984;3;Schokoladentafel;schlau;;nein;gut;;;gut;positiv;;;E.T.;
984;4;will nicht spielen;traurig;;;;;;traurig;traurig;;;E.T.;
984;5;im Arm seiner Mutter;geschätzt;;;;;;99;99;;;BS;3.0
984;6;Schimmel ;nicht so gut;;nein;;;;nicht so gut;negativ;so;nicht;BS;2.0
984;7;Geburtstag;gut, weil findet es schön fröhlich;;;;;;fröhlich;fröhlich;;;BS;2.0
984;8;denkt, andere habens gesehen;peinlich;;;;;;peinlich;peinlich;;;E.T.;
984;9;Igel;nicht so gut;;nicht so richtig;;;;nicht so gut;negativ;so;nicht;BS;2.0
984;10;ein Legoauto auf dem Karton ;nicht so gut, weil er immer wieder scheitert, das nervt;;;;;;nervt;genervt;;;BS;2.0
5679;1;Monsterfilm;Angst;;;;;;Angst;ängstlich;;;E.T.;
5679;2;LKW hat ihn überfahren;traurig;;;;;;traurig;traurig;;;E.T.;
5679;3;Schokolade;Freude;;;;;;Freude;Freude;;;E.T.;
5679;4;?;traurig;;;;;;traurig;traurig;;;E.T.;
5679;5;auf Schoß;entspannend;;;;;;entspannend;entspannt;;;BS;3.0
5679;6;Schimmel;traurig;;;;;;traurig;traurig;;;E.T.;
5679;7;?;sie freut sich;;;;;;freut sich;Freude;;;BS;2.0
5679;8;weil ihre Hose offen ist;traurig;;;;;;traurig;traurig;;;E.T.;
5679;9;Igel;traurig;;;;;;traurig;traurig;;;E.T.;
5679;10;Spielzeug;traurig;;;;;;traurig;traurig;;;E.T.;
473;1;Monsterfilm;gruselig;;;;;;gruselig;Grusel;;;E.T.;
473;2;überfahren;traurig;;;;;;traurig;traurig;;;E.T.;
473;3;Schokolade ;glücklich;;;;;;glücklich;glücklich;;;E.T.;
473;4;bekommt bestimmt Junge;traurig oder besorgt;;;;besorgt;;besorgt;besorgt;;;BS;2.0
473;5;im Mamas Arm;glücklich;;;;;;glücklich;glücklich;;;E.T.;
473;6;Schimmel;traurig;;;;;;traurig;traurig;;;E.T.;
473;7;Geburtstag;glücklich;;;;;;glücklich;glücklich;;;E.T.;
473;8;Hose auf;unglücklich;;;;;;unglücklich;unglücklich;;;BS;2.0
473;9;Igel;böse;;;;;;böse;negativ;;;E.T.;
473;10;Modell;traurig;;;;;;traurig;traurig;;;E.T.;
7549;1;gruseligen Film;zittert vor Angst;;;hat Angst;;;Angst;ängstlich;;;E.T.;
7549;2;sie holt ihn oder wirft es weg;traurig;;;;;;traurig;traurig;;;E.T.;
7549;3;weil ihre Mama die Schokolade ins obere Fach legt;sie möchte es auch haben;;;;;;99;99;;;BS;3.0
7549;4;sie ist alt;traurig;;;;;;traurig;traurig;;;E.T.;
7549;5;auf den Arm von ihrer Mama;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
7549;6;Schimmel;mag es nicht mehr;;;weiß ich nicht;;;99;99;;;BS;3.0
7549;7;zum Geburtstag;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
7549;8;weil andere Kinder sehen, dass ihre Hose offen steht;hoffentlich sieht es kein anderer;;;schnell hochziehen;;;99;99;;;BS;3.0
7549;9;den Igel;traurig;;;;;;traurig;traurig;;;E.T.;
7549;10;ein Spielzeugauto;findet das Spielzeug doof;;;weiß nicht;;;doof;negativ;;;E.T.;
6081;1;mit ein Monster;Angst;;;;;;Angst;ängstlich;;;E.T.;
6081;2;hat ihn runterfallen lassen  -> Laster drüber -> ganz kaputt;traurig ;;;;;;traurig;traurig;;;E.T.;
6081;3;die Tafel Schokolade;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
6081;4;will nicht mehr spielen, [da? den?];traurig;;;;;;traurig;traurig;;;E.T.;
6081;5;kuschelt mit + weiß, dass nix passieren kann;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
6081;6;gebrennt;igitt, verekelt;;;;;;verekelt;Ekel;;;E.T.;
6081;7;weil sie Geburtstag hat;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
6081;8;weil seine Hose auf ist;traurig;;;;;;traurig;traurig;;;E.T.;
6081;9;Igel;wütend;;;;;;wütend;wütend;;;E.T.;
6081;10;gleiche Sache wie auf dem Modell;wütend;;;;;;wütend;wütend;;;E.T.;
3584;1;mit Monster;Angst;;;;;;Angst;ängstlich;;;E.T.;
3584;2;überfahren;traurig;;;;;;traurig;traurig;;;E.T.;
3584;3;Schokolade;hypnotisiert von der Schokolade;;;muss wach machen;;;99;99;;;BS;3.0
3584;4;schläft nur;erschrocken;;;;;;erschrocken;erschrocken;;;E.T.;
3584;5;auf seiner Mama;gut;;weil bei Mama;;;;gut;positiv;;;E.T.;
3584;6;Schimmel;traurig;;;;;;traurig;traurig;;;E.T.;
3584;7;Geburtstag;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
3584;8;alle würden ihn auslachen;peinlich;;;;;;peinlich;peinlich;;;E.T.;
3584;9;Igel;wütend;;;;;;wütend;wütend;;;E.T.;
3584;10;Legospielzeug gelingt nicht;enttäuscht;;;;;;enttäuscht;enttäuscht;;;E.T.;
6227;1;Monsterfilm;bisschen Angst;;;;;;bisschen Angst;ängstlich;bisschen;;E.T.;
6227;2;wurde überfahren + kaputt;traurig;;;;;;traurig;traurig;;;E.T.;
6227;3;Tafel Schokolade;gierig;;;;;;gierig;begierig;;;E.T.;
6227;4;will nicht mehr spielen;traurig;;;;;;traurig;traurig;;;E.T.;
6227;5;bei ihrer Mutter;schön;;freut sich;;;;freut sich;Freude;;;BS;2.0
6227;6;Schimmel;"""bäh, ich will das nicht haben""";;;voll eklig;;;eklig;Ekel;;;E.T.;
6227;7;hat Geburtstag;schön, freut sich;;;;;;freut sich;Freude;;;BS;2.0
6227;8;weil Hofe offen;ist unangenehm;;;"""hoffentlich habens die anderen nicht gesehen""";;;unangenehm;negativ;;;BS;2.0
6227;9;Igel;"""oh Mist, ich wollte doch..""";;;Freundin sagen, mach mal leise;;;99;99;;;BS;3.0
6227;10;das Auto auf der Schachtel ;ärgerlich;;;;;;ärgerlich;Ärger;;;E.T.;
9762;1;Monster;ängstlich;;;;;;ängstlich;ängstlich;;;E.T.;
9762;2;überfahren;traurig;;;;;;traurig;traurig;;;E.T.;
9762;3;wo Mama es hinräumt;glücklich;;;;;;glücklich;glücklich;;;E.T.;
9762;4;vielleicht krank;traurig;;;;;;traurig;traurig;;;E.T.;
9762;5;auf ihrem Bauch von der Mutter;glücklich;;;;;;glücklich;glücklich;;;E.T.;
9762;6;Schimmel;traurig;;;;;;traurig;traurig;;;E.T.;
9762;7;Geburtstag;freut sich;;;;;;freut sich;Freude;;;BS;2.0
9762;8;Hose offen;traurig;;;;;;traurig;traurig;;;E.T.;
9762;9;Igel;Angst;;;;;;Angst;ängstlich;;;E.T.;
9762;10;ein Auto;traurig;;;;;;traurig;traurig;;;E.T.;
2656;1;weiß nicht;glücklich;;;;;;glücklich;glücklich;;;E.T.;
2656;2;kaputt;traurig;;;;;;traurig;traurig;;;E.T.;
2656;3;weiß nicht;weiß nicht;;;;;;99;99;;;BS;3.0
2656;4;abgehauen;traurig;;;;;;traurig;traurig;;;E.T.;
2656;5;im Bett;lachen;;;;;;99;99;;;BS;3.0
2656;6;Erdbeeren;glücklich;;;;;;glücklich;glücklich;;;E.T.;
2656;7;zum Geburtstag;glücklich;;;;;;glücklich;glücklich;;;E.T.;
2656;8;weil ihr Freund da ist;glücklich;;;;;;glücklich;glücklich;;;E.T.;
2656;9;Pferd;glücklich;;;;;;glücklich;glücklich;;;E.T.;
2656;10;Haus;traurig;;;;;;traurig;traurig;;;E.T.;
3167;1;Monsterfilm;allein;;;traurig, ängstlich;ängstlich;;ängstlich;ängstlich;;;BS;2.0
3167;2;kaputtgegangen;erschrocken;;;;;;erschrocken;erschrocken;;;E.T.;
3167;3;Schokolade;hungrig;;;will man was zu essen;;;99;99;;;BS;3.0
3167;4;spielt nicht mehr;traurig;;;;;;traurig;traurig;;;E.T.;
3167;5;im Arm von ihrer Mama;glücklich;;;;;;glücklich;glücklich;;;E.T.;
3167;6;Schimmel;traurig;;;;;;traurig;traurig;;;E.T.;
3167;7;Geburtstag hat;glücklich;;;;;;glücklich;glücklich;;;E.T.;
3167;8;Hose offen;peinlich;;;;;;peinlich;peinlich;;;E.T.;
3167;9;Igel;sauer;;;;;;sauer;sauer;;;E.T.;
3167;10;ihr Legomodell;sauer;;;;;;sauer;sauer;;;E.T.;
9932;1;Gruselfilm;Angst;;;;;;Angst;ängstlich;;;E.T.;
9932;2;Auto darübergefahren;traurig;;;;;;traurig;traurig;;;E.T.;
9932;3;ob sie Schokolade holen kann;weiß nicht;;;;;;99;99;;;BS;3.0
9932;4;Katze einfach müde;macht sich Sorgen;;;;;;Sorgen;besorgt;;;E.T.;
9932;5;im Mamas Arm;freudig;;;;;;freudig;Freude;;;E.T.;
9932;6;ein verschimmeltes Stück;traurig, wütend;;;;wütend;;wütend;wütend;;;BS;2.0
9932;7;Geburtstag;freudig, aufgeregt;;;;freudig;;freudig;Freude;;;BS;2.0
9932;8;Hose offen;nicht so besonders;;/;;;;nicht so;negativ ;;;E.T.;
9932;9;Igel;wütend;;;;;;wütend;wütend;;;E.T.;
9932;10;Auto;wütend;;;;;;wütend;wütend;;;E.T.;
2617;1;Monsterfilm;bisschen ängstlich;;;;;;bisschen ängstlich;ängstlich;bisschen;;E.T.;
2617;2;überfahren;traurig;;;;;;traurig;traurig;;;E.T.;
2617;3;wie ihre Mama Schokolade in den Schrank legt;weiß ich nicht;;;;;;99;99;;;BS;3.0
2617;4;will nicht mehr spielen;traurig;;;;;;traurig;traurig;;;E.T.;
2617;5;Schoß von ihrer Mama;gut;;möchte nicht genauer beschreiben;;;;gut;positiv;;;E.T.;
2617;6;großen Fleck Schimmel;bisschen traurig;;;;;;bisschen traurig;traurig;bisschen;;E.T.;
2617;7;zum Geburtstag;gut;;;;;;gut;positiv;;;E.T.;
2617;8;weil Hose offen ist;bisschen erschrocken;;;;;;bisschen erschrocken;erschrocken;bisschen;;E.T.;
2617;9;Igel;bisschen sauer;;;;;;bisschen sauer;sauer;bisschen;;E.T.;
2617;10;was auf der Packung drauf ist;traurig;;;;;;traurig;traurig;;;E.T.;
1067;1;Monsterfilm;hat Angst;;;;;;Angst;ängstlich;;;E.T.;
1067;2;überfahren worden;sauer auf den Lastwagen ;;;;;;sauer;sauer;;;E.T.;
1067;3;sie räumt Schokolade aus Einkaufswagen ganz oben in den Schrank;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
1067;4;Katze spielt nicht mehr;traurig;;;;;;traurig;traurig;;;E.T.;
1067;5;im Arm von seiner Mama;schön;;;;;;schön;positiv;;;E.T.;
1067;6;Fleck Schimmel ;sauer;;;;;;sauer;sauer;;;E.T.;
1067;7;sein Geburtstag;froh;;;;;;froh;froh;;;E.T.;
1067;8;er schämt sich;nicht gut, er wollte nicht, dass Hose offen ist;;;;;;schämt sich;Scham;;;BS;2.0
1067;9;Igel;sauer auf den Freund;;;;;;sauer;sauer;;;E.T.;
1067;10;Fahrzeug, da fehlen Teile (z.B. Räder);sauer;;;;;;sauer;sauer;;;E.T.;
2939;1;gruseliger Film;ängstlich;;;;;;ängstlich;ängstlich;;;E.T.;
2939;2;er hat Abdrücke von einem Reifen, aber sie könnte ihn in die Waschmaschine stecken;traurig;;;;;;traurig;traurig;;;E.T.;
2939;3;Mama macht die Schokolade ins Regal;glücklich, weil sie denkt die ist für sie allein;;;;;;glücklich;glücklich;;;E.T.;
2939;4;liegt ganz platt im Körbchen, man soll zum Tierarzt gehen;komisch;;;;;;99;99;;;BS;3.0
2939;5;in Mamas Armen;glücklich;;;;;;glücklich;glücklich;;;E.T.;
2939;6;Schimmel, darf man nicht essen;eklig;;;;;;eklig;Ekel;;;E.T.;
2939;7;weil sie Geburtstag hatte;gut, sehr glücklich;;;;;;sehr glücklich;glücklich;sehr;;BS;2.0
2939;8;ihre Hose war offen, vielleicht hat sie vergessen eine Unterhose anzuziehen;unglücklich;;;;;;unglücklich;unglücklich;;;BS;2.0
2939;9;Tierfoto, Igel;doof;;;;;;doof;negativ;;;E.T.;
2939;10;das Auto, weil sie die Anleitung nicht hat;nicht toll;;traurig, ärgerlich, wütend;;ärgerlich;;ärgerlich;Ärger;;;BS;2.0
9567;1;Monsterfilm;ängstlich;;;;;;ängstlich;ängstlich;;;E.T.;
9567;2;kaputt gegangen;traurig;;;;;;traurig;traurig;;;E.T.;
9567;3;wie Mama Schokolade in Schrank tut;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
9567;4;Müde;schade;;;;;;99;99;;;BS;3.0
9567;5;Arm von Mama;wohl;;;;;;wohl;positiv;;;E.T.;
9567;6;Schimmel ;eckelhaft;;;;;;eckelhaft;Ekel;;;BS;3.0
9567;7;zum Geburtstag;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
9567;8;weil Hose offen war;peinlich;;;;;;peinlich;peinlich;;;E.T.;
9567;9;Igel;gemein;;;;;;99;99;;;BS;3.0
9567;10;Legoauto;Schade, gemein;;;;;;99;99;;;BS;3.0
7372;1;dass ein Monster unter ihrem Bett ist;Angst;;;;;;Angst;ängstlich;;;E.T.;
7372;2;der wurde angefahren;traurig;;;;;;traurig;traurig;;;E.T.;
7372;3;dass sie eine Schokolade oben reinlegt;schön;;toll;;;;schön;positiv;;;BS;2.0
7372;4;sie denkt, dass sie krank wird;traurig;;;;;;traurig;traurig;;;E.T.;
7372;5;in den Armen von ihrer Mama;schön;;gut;;;;schön;positiv;;;BS;2.0
7372;6;was verschimmeltes;schlecht;;traurig;;;;traurig;traurig;;;BS;2.0
7372;7;weil sie Geburtstag hat;toll;;schön;;;;toll;positiv;;;BS;2.0
7372;8;weil ihre Hose offen ist;komisch;;schlecht;;;;schlecht;negativ;;;E.T.;
7372;9;den Igel;wütend;;;;;;wütend;wütend;;;E.T.;
7372;10;Lego-Auto;doof;;schlecht;;;;doof;negativ;;;BS;2.0
1820;1;Monster;ängstlich;;;;;;ängstlich;ängstlich;;;E.T.;
1820;2;kaputt;traurig;;;;;;traurig;traurig;;;E.T.;
