ID subject;vignette;Verständnisfrage;Frage 1;Nachfrage 1;Nachfrage 2;Nachfrage 3;Nachfrage 4;Bemerkung
3167;1;Monsterfilm;allein;;;traurig, ängstlich;ängstlich;
3167;2;kaputtgegangen;erschrocken;;;;;
3167;3;Schokolade;hungrig;;;will man was zu essen;;
3167;4;spielt nicht mehr;traurig;;;;;
3167;5;im Arm von ihrer Mama;glücklich;;;;;
3167;6;Schimmel;traurig;;;;;
3167;7;Geburtstag hat;glücklich;;;;;
3167;8;Hose offen;peinlich;;;;;
3167;9;Igel;sauer;;;;;
3167;10;ihr Legomodell;sauer;;;;;
9932;1;Gruselfilm;Angst;;;;;
9932;2;Auto darübergefahren;traurig;;;;;
9932;3;ob sie Schokolade holen kann;weiß nicht;;;;;
9932;4;Katze einfach müde;macht sich Sorgen;;;;;
9932;5;im Mamas Arm;freudig;;;;;
9932;6;ein verschimmeltes Stück;traurig, wütend;;;;wütend;
9932;7;Geburtstag;freudig, aufgeregt;;;;freudig;
9932;8;Hose offen;nicht so besonders;;/;;;
9932;9;Igel;wütend;;;;;
9932;10;Auto;wütend;;;;;
2617;1;Monsterfilm;bisschen ängstlich;;;;;
2617;2;überfahren;traurig;;;;;
2617;3;wie ihre Mama Schokolade in den Schrank legt;weiß ich nicht;;;;;
2617;4;will nicht mehr spielen;traurig;;;;;
2617;5;Schoß von ihrer Mama;gut;;möchte nicht genauer beschreiben;;;
2617;6;großen Fleck Schimmel;bisschen traurig;;;;;
2617;7;zum Geburtstag;gut;;;;;
2617;8;weil Hose offen ist;bisschen erschrocken;;;;;
2617;9;Igel;bisschen sauer;;;;;
2617;10;was auf der Packung drauf ist;traurig;;;;;
1067;1;Monsterfilm;hat Angst;;;;;
1067;2;überfahren worden;sauer auf den Lastwagen ;;;;;
1067;3;sie räumt Schokolade aus Einkaufswagen ganz oben in den Schrank;fröhlich;;;;;
1067;4;Katze spielt nicht mehr;traurig;;;;;
1067;5;im Arm von seiner Mama;schön;;;;;
1067;6;Fleck Schimmel ;sauer;;;;;
1067;7;sein Geburtstag;froh;;;;;
1067;8;er schämt sich;nicht gut, er wollte nicht, dass Hose offen ist;;;;;
1067;9;Igel;sauer auf den Freund;;;;;
1067;10;Fahrzeug, da fehlen Teile (z.B. Räder);sauer;;;;;
2939;1;gruseliger Film;ängstlich;;;;;
2939;2;er hat Abdrücke von einem Reifen, aber sie könnte ihn in die Waschmaschine stecken;traurig;;;;;
2939;3;Mama macht die Schokolade ins Regal;glücklich, weil sie denkt die ist für sie allein;;;;;
2939;4;liegt ganz platt im Körbchen, man soll zum Tierarzt gehen;komisch;;;;;
2939;5;in Mamas Armen;glücklich;;;;;
2939;6;Schimmel, darf man nicht essen;eklig;;;;;
2939;7;weil sie Geburtstag hatte;gut, sehr glücklich;;;;;
2939;8;ihre Hose war offen, vielleicht hat sie vergessen eine Unterhose anzuziehen;unglücklich;;;;;
2939;9;Tierfoto, Igel;doof;;;;;
2939;10;das Auto, weil sie die Anleitung nicht hat;nicht toll;;traurig, ärgerlich, wütend;;ärgerlich;
9567;1;Monsterfilm;ängstlich;;;;;
9567;2;kaputt gegangen;traurig;;;;;
9567;3;wie Mama Schokolade in Schrank tut;fröhlich;;;;;
9567;4;Müde;schade;;;;;
9567;5;Arm von Mama;wohl;;;;;
9567;6;Schimmel ;eckelhaft;;;;;
9567;7;zum Geburtstag;fröhlich;;;;;
9567;8;weil Hose offen war;peinlich;;;;;
9567;9;Igel;gemein;;;;;
9567;10;Legoauto;Schade, gemein;;;;;
7372;1;dass ein Monster unter ihrem Bett ist;Angst;;;;;
7372;2;der wurde angefahren;traurig;;;;;
7372;3;dass sie eine Schokolade oben reinlegt;schön;;toll;;;
7372;4;sie denkt, dass sie krank wird;traurig;;;;;
7372;5;in den Armen von ihrer Mama;schön;;gut;;;
7372;6;was verschimmeltes;schlecht;;traurig;;;
7372;7;weil sie Geburtstag hat;toll;;schön;;;
